DOI,ParsingDate,Accesses,Citations,Altmetric
10.1038/sdata201662,2024-08-24,3193,8,8
10.1038/sdata201656,2024-08-24,4381,40,12
10.1038/sdata201657,2024-08-24,3226,10,3
10.1038/sdata201649,2024-08-24,3608,6,18
10.1038/sdata201658,2024-08-24,2124,7,0
10.1038/sdata201660,2024-08-24,3566,16,1
10.1038/sdata201661,2024-08-24,2220,10,0
10.1038/sdata201663,2024-08-24,12000,40,156
10.1038/sdata201668,2024-08-24,2975,23,2
10.1038/sdata201666,2024-08-24,15000,44,301
10.1038/sdata201665,2024-08-24,4141,3,10
10.1038/sdata201669,2024-08-24,7333,6,22
10.1038/sdata201655,2024-08-24,7215,24,26
10.1038/sdata201667,2024-08-24,38000,455,121
10.1038/sdata201672,2024-08-24,3390,18,1
10.1038/sdata201671,2024-08-24,8495,17,16
10.1038/sdata201674,2024-08-24,8555,40,7
10.1038/sdata201670,2024-08-24,2384,12,6
10.1038/sdata201673,2024-08-24,1755,6,3
10.1038/sdata201675,2024-08-24,13000,86,15
10.1038/sdata201680,2024-08-24,64000,628,96
10.1038/sdata201676,2024-08-24,7548,26,12
10.1038/sdata201679,2024-08-24,3562,13,2
10.1038/sdata201683,2024-08-24,3769,18,7
10.1038/sdata201684,2024-08-24,8781,40,43
10.1038/sdata201685,2024-08-24,3046,3,10
10.1038/sdata201681,2024-08-24,18000,73,12
10.1038/sdata201686,2024-08-24,11000,78,18
10.1038/sdata201691,2024-08-24,1981,2,11
10.1038/sdata201682,2024-08-24,5274,7,29
10.1038/sdata201687,2024-08-24,8138,69,158
10.1038/sdata201688,2024-08-24,2175,7,8
10.1038/sdata201689,2024-08-24,14000,225,16
10.1038/sdata201690,2024-08-24,3987,4,2
10.1038/sdata201693,2024-08-24,5837,37,25
10.1038/sdata201696,2024-08-24,12000,76,47
10.1038/sdata201692,2024-08-24,8652,59,48
10.1038/sdata201698,2024-08-24,2940,10,2
10.1038/sdata201697,2024-08-24,3749,11,10
10.1038/sdata2016101,2024-08-24,3275,8,1
10.1038/sdata201694,2024-08-24,5791,20,7
10.1038/sdata2016100,2024-08-24,6490,30,5
10.1038/sdata201699,2024-08-24,9249,13,21
10.1038/sdata201695,2024-08-24,3631,9,0
10.1038/sdata2016104,2024-08-24,7174,33,11
10.1038/sdata2016103,2024-08-24,3437,9,2
10.1038/sdata2016105,2024-08-24,2915,11,4
10.1038/sdata2016106,2024-08-24,14000,77,18
10.1038/sdata2016108,2024-08-24,5569,16,8
10.1038/sdata2016107,2024-08-24,10000,102,64
10.1038/sdata2016102,2024-08-24,5794,34,42
10.1038/sdata2016110,2024-08-24,13000,199,20
10.1038/sdata2016112,2024-08-24,1943,11,2
10.1038/sdata2016118,2024-08-24,21000,120,18
10.1038/sdata2016109,2024-08-24,11000,33,19
10.1038/sdata2016116,2024-08-24,4624,17,15
10.1038/sdata2016114,2024-08-24,1958,5,0
10.1038/sdata2016119,2024-08-24,28000,40,39
10.1038/sdata2016117,2024-08-24,5289,16,10
10.1038/sdata2016115,2024-08-24,2145,11,1
10.1038/sdata2016122,2024-08-24,26000,270,1
10.1038/sdata2016124,2024-08-24,4917,28,3
10.1038/sdata2016123,2024-08-24,26000,107,147
10.1038/sdata2016130,2024-08-24,6190,31,20
10.1038/sdata2016127,2024-08-24,11000,14,36
10.1038/sdata2016132,2024-08-24,11000,57,48
10.1038/sdata2016128,2024-08-24,3931,28,4
10.1038/sdata2016129,2024-08-24,3113,2,12
10.1038/sdata2016134,2024-08-24,24000,160,3
10.1038/sdata2016126,2024-08-24,23000,31,53
10.1038/sdata20171,2024-08-24,50000,223,150
10.1038/sdata2016133,2024-08-24,4058,44,6
10.1038/sdata20172,2024-08-24,9067,18,72
10.1038/sdata2016125,2024-08-24,6721,20,8
10.1038/sdata2016120,2024-08-24,5162,16,52
10.1038/sdata2016131,2024-08-24,4479,26,1
10.1038/sdata20175,2024-08-24,8487,57,144
10.1038/sdata201717,2024-08-24,6581,98,11
10.1038/sdata201715,2024-08-24,5124,39,0
10.1038/sdata201716,2024-08-24,10000,56,88
10.1038/sdata201711,2024-08-24,10000,28,39
10.1038/sdata201712,2024-08-24,12000,289,13
10.1038/sdata201721,2024-08-24,6427,21,10
10.1038/sdata201722,2024-08-24,2084,7,15
10.1038/sdata201718,2024-08-24,5423,26,17
10.1038/sdata20178,2024-08-24,2744,8,3
10.1038/sdata201723,2024-08-24,2577,15,3
10.1038/sdata20179,2024-08-24,3332,20,5
10.1038/sdata20177,2024-08-24,3738,12,1
10.1038/sdata201720,2024-08-24,3479,12,8
10.1038/sdata201727,2024-08-24,7054,124,5
10.1038/sdata201731,2024-08-24,2860,3,86
10.1038/sdata201729,2024-08-24,22000,206,33
10.1038/sdata201710,2024-08-24,16000,359,31
10.1038/sdata201724,2024-08-24,9264,182,3
10.1038/sdata201726,2024-08-24,3434,15,5
10.1038/sdata201713,2024-08-24,2990,30,0
10.1038/sdata201714,2024-08-24,5285,22,11
10.1038/sdata201732,2024-08-24,15000,52,99
10.1038/sdata20173,2024-08-24,11000,45,6
10.1038/sdata201734,2024-08-24,13000,16,2
10.1038/sdata201736,2024-08-24,7026,22,10
10.1038/sdata201733,2024-08-24,17000,101,7
10.1038/sdata201737,2024-08-24,6114,52,18
10.1038/sdata201738,2024-08-24,2265,12,1
10.1038/sdata2016121,2024-08-24,2994,7,1
10.1038/sdata201730,2024-08-24,3337,45,17
10.1038/sdata201741,2024-08-24,10000,103,52
10.1038/sdata201745,2024-08-24,2808,18,9
10.1038/sdata201749,2024-08-24,2480,4,8
10.1038/sdata201748,2024-08-24,3270,5,1
10.1038/sdata201743,2024-08-24,2469,9,1
10.1038/sdata201739,2024-08-24,16000,81,82
10.1038/sdata201735,2024-08-24,7945,5,52
10.1038/sdata201750,2024-08-24,6368,26,6
10.1038/sdata201747,2024-08-24,5956,21,42
10.1038/sdata201740,2024-08-24,12000,45,5
10.1038/sdata201746,2024-08-24,2344,8,6
10.1038/sdata201752,2024-08-24,6211,17,1
10.1038/sdata201753,2024-08-24,5172,40,21
10.1038/sdata201756,2024-08-24,5001,21,1
10.1038/sdata201755,2024-08-24,1912,6,0
10.1038/sdata201754,2024-08-24,6886,25,12
10.1038/sdata201744,2024-08-24,12000,103,30
10.1038/sdata201761,2024-08-24,3504,40,3
10.1038/sdata201757,2024-08-24,17000,123,0
10.1038/sdata201760,2024-08-24,2511,4,4
10.1038/sdata201770,2024-08-24,8006,70,7
10.1038/sdata201766,2024-08-24,2448,7,6
10.1038/sdata201764,2024-08-24,10000,29,6
10.1038/sdata201765,2024-08-24,1369,0,3
10.1038/sdata201769,2024-08-24,3829,8,7
10.1038/sdata201751,2024-08-24,4078,8,2
10.1038/sdata201763,2024-08-24,13000,147,10
10.1038/sdata201768,2024-08-24,2742,20,1
10.1038/sdata201773,2024-08-24,5235,28,12
10.1038/sdata201772,2024-08-24,4250,21,1
10.1038/sdata201774,2024-08-24,27000,107,39
10.1038/sdata201776,2024-08-24,5327,66,8
10.1038/sdata201759,2024-08-24,8164,54,33
10.1038/sdata201775,2024-08-24,15000,121,81
10.1038/sdata201767,2024-08-24,5387,33,16
10.1038/sdata201778,2024-08-24,14000,98,63
10.1038/sdata201781,2024-08-24,5129,9,9
10.1038/sdata201779,2024-08-24,3824,52,1
10.1038/sdata201783,2024-08-24,4771,118,4
10.1038/sdata201787,2024-08-24,3767,12,12
10.1038/sdata201785,2024-08-24,19000,153,6
10.1038/sdata201777,2024-08-24,4082,44,1
10.1038/sdata201788,2024-08-24,63000,265,1028
10.1038/sdata201790,2024-08-24,2336,21,3
10.1038/sdata201784,2024-08-24,2450,4,10
10.1038/sdata201789,2024-08-24,11000,0,27
10.1038/sdata201791,2024-08-24,10000,28,4
10.1038/sdata201792,2024-08-24,4371,13,3
10.1038/sdata201795,2024-08-24,5402,73,1
10.1038/sdata201796,2024-08-24,3849,20,14
10.1038/sdata201794,2024-08-24,3684,33,3
10.1038/sdata201797,2024-08-24,2176,11,9
10.1038/sdata201793,2024-08-24,10000,102,46
10.1038/sdata2017100,2024-08-24,6756,40,5
10.1038/sdata2017101,2024-08-24,7829,44,12
10.1038/sdata201798,2024-08-24,8158,28,12
10.1038/sdata2017110,2024-08-24,18000,65,118
10.1038/sdata2017108,2024-08-24,2724,1,7
10.1038/sdata2017111,2024-08-24,1549,4,0
10.1038/sdata2017103,2024-08-24,17000,142,5
10.1038/sdata2017116,2024-08-24,6998,49,11
10.1038/sdata2017109,2024-08-24,4537,72,18
10.1038/sdata2017118,2024-08-24,3975,33,2
10.1038/sdata2017112,2024-08-24,18000,158,8
10.1038/sdata2017106,2024-08-24,3792,24,2
10.1038/sdata2017105,2024-08-24,12000,43,66
10.1038/sdata2017107,2024-08-24,5606,46,1
10.1038/sdata2017123,2024-08-24,21000,166,103
10.1038/sdata2017117,2024-08-24,30000,1609,38
10.1038/sdata2017120,2024-08-24,5076,9,2
10.1038/sdata2017121,2024-08-24,12000,42,42
10.1038/sdata2017122,2024-08-24,64000,2258,92
10.1038/sdata2017128,2024-08-24,2142,7,26
10.1038/sdata2017104,2024-08-24,7469,24,8
10.1038/sdata2017129,2024-08-24,2393,8,1
10.1038/sdata2017130,2024-08-24,1470,2,2
10.1038/sdata2017126,2024-08-24,5078,8,18
10.1038/sdata2017127,2024-08-24,12000,123,1
10.1038/sdata2017132,2024-08-24,6436,36,7
10.1038/sdata2017125,2024-08-24,795000,34,18
10.1038/sdata2017124,2024-08-24,10000,79,12
10.1038/sdata2017115,2024-08-24,4925,84,23
10.1038/sdata2017136,2024-08-24,6598,49,28
10.1038/sdata2017134,2024-08-24,1762,5,3
10.1038/sdata2017137,2024-08-24,4992,55,26
10.1038/sdata2017141,2024-08-24,19000,129,52
10.1038/sdata2017143,2024-08-24,4488,24,69
10.1038/sdata2017142,2024-08-24,11000,22,126
10.1038/sdata2017145,2024-08-24,11000,138,22
10.1038/sdata2017147,2024-08-24,4533,12,7
10.1038/sdata2017139,2024-08-24,8504,8,6
10.1038/sdata2017149,2024-08-24,3016,13,14
10.1038/sdata2017151,2024-08-24,38000,145,100
10.1038/sdata2017135,2024-08-24,6056,28,10
10.1038/sdata2017148,2024-08-24,4744,17,8
10.1038/sdata2017144,2024-08-24,5975,15,14
10.1038/sdata2017140,2024-08-24,6088,41,8
10.1038/sdata2017155,2024-08-24,1534,1,3
10.1038/sdata2017152,2024-08-24,2870,14,11
10.1038/sdata2017153,2024-08-24,38000,292,1
10.1038/sdata2017150,2024-08-24,4073,4,7
10.1038/sdata2017156,2024-08-24,3950,14,6
10.1038/sdata2017161,2024-08-24,1980,2,10
10.1038/sdata2017146,2024-08-24,10000,17,290
10.1038/sdata2017157,2024-08-24,2774,15,7
10.1038/sdata2017165,2024-08-24,28000,349,40
10.1038/sdata2017162,2024-08-24,8405,29,0
10.1038/sdata2017167,2024-08-24,7136,53,22
10.1038/sdata2017163,2024-08-24,2100,5,6
10.1038/sdata2017159,2024-08-24,4312,26,37
10.1038/sdata2017160,2024-08-24,3850,23,41
10.1038/sdata2017164,2024-08-24,5949,22,4
10.1038/sdata2017168,2024-08-24,2778,7,0
10.1038/sdata2017166,2024-08-24,6042,24,5
10.1038/sdata2017169,2024-08-24,4871,20,37
10.1038/sdata2017172,2024-08-24,1878,6,1
10.1038/sdata2017170,2024-08-24,27000,28,4
10.1038/sdata2017171,2024-08-24,43000,219,16
10.1038/sdata2017175,2024-08-24,12000,39,4
10.1038/sdata2017173,2024-08-24,2187,6,8
10.1038/sdata2017180,2024-08-24,1706,6,1
10.1038/sdata2017176,2024-08-24,6321,25,40
10.1038/sdata2017178,2024-08-24,1881,12,7
10.1038/sdata2017185,2024-08-24,42000,82,5
10.1038/sdata2017188,2024-08-24,1351,4,1
10.1038/sdata2017186,2024-08-24,2238,17,5
10.1038/sdata2017182,2024-08-24,2732,6,1
10.1038/sdata2017189,2024-08-24,1235,7,1
10.1038/sdata2017187,2024-08-24,16000,87,323
10.1038/sdata2017177,2024-08-24,49000,423,3
10.1038/sdata2017193,2024-08-24,20000,188,44
10.1038/sdata2017195,2024-08-24,2602,9,2
10.1038/sdata2017194,2024-08-24,2546,23,6
10.1038/sdata2017184,2024-08-24,3618,21,23
10.1038/sdata2017192,2024-08-24,2731,21,11
10.1038/sdata2017181,2024-08-24,41000,280,81
10.1038/sdata2017179,2024-08-24,10000,21,16
10.1038/sdata2017190,2024-08-24,2981,13,16
10.1038/sdata2017198,2024-08-24,3649,19,9
10.1038/sdata2017196,2024-08-24,1183,3,1
10.1038/sdata2017191,2024-08-24,75000,1394,62
10.1038/sdata2017199,2024-08-24,7076,10,1
10.1038/sdata2017200,2024-08-24,41000,35,30
10.1038/sdata2017197,2024-08-24,1554,4,5
10.1038/sdata2017203,2024-08-24,21000,291,102
10.1038/sdata2017201,2024-08-24,117000,909,130
10.1038/sdata2017205,2024-08-24,3720,13,5
10.1038/sdata2017207,2024-08-24,3229,23,10
10.1038/sdata2017204,2024-08-24,13000,23,1
10.1038/sdata2017202,2024-08-24,31000,121,213
10.1038/sdata2017206,2024-08-24,5438,52,117
10.1038/sdata20181,2024-08-24,13000,33,11
10.1038/sdata20185,2024-08-24,8101,31,1
10.1038/sdata20184,2024-08-24,49000,367,88
10.1038/sdata20189,2024-08-24,9979,55,4
10.1038/sdata20183,2024-08-24,23000,117,14
10.1038/sdata201812,2024-08-24,4912,36,8
10.1038/sdata201810,2024-08-24,9974,24,64
10.1038/sdata20188,2024-08-24,4338,10,1
10.1038/sdata201813,2024-08-24,10000,37,10
10.1038/sdata201818,2024-08-24,5933,14,9
10.1038/sdata201816,2024-08-24,5383,24,50
10.1038/sdata201814,2024-08-24,7536,44,31
10.1038/sdata201811,2024-08-24,52000,162,107
10.1038/sdata201819,2024-08-24,1947,2,0
10.1038/sdata201817,2024-08-24,10000,61,67
10.1038/sdata201815,2024-08-24,9219,467,42
10.1038/sdata201823,2024-08-24,6815,11,22
10.1038/sdata20187,2024-08-24,2834,15,5
10.1038/sdata201820,2024-08-24,32000,113,8
10.1038/sdata201824,2024-08-24,1973,13,1
10.1038/sdata201826,2024-08-24,4854,28,9
10.1038/sdata20186,2024-08-24,4302,46,9
10.1038/sdata201833,2024-08-24,2290,9,1
10.1038/sdata201825,2024-08-24,32000,49,37
10.1038/sdata201821,2024-08-24,7394,22,9
10.1038/sdata201830,2024-08-24,9398,10,9
10.1038/sdata201831,2024-08-24,3386,17,3
10.1038/sdata201838,2024-08-24,2599,7,1
10.1038/sdata201835,2024-08-24,2611,9,3
10.1038/sdata201836,2024-08-24,20000,135,19
10.1038/sdata201822,2024-08-24,19000,150,233
10.1038/sdata201828,2024-08-24,19000,310,97
10.1038/sdata201837,2024-08-24,1961,3,12
10.1038/sdata201847,2024-08-24,1609,2,0
10.1038/sdata201846,2024-08-24,4412,9,9
10.1038/sdata201840,2024-08-24,26000,409,40
10.1038/sdata201834,2024-08-24,7437,43,10
10.1038/sdata201843,2024-08-24,3980,8,21
10.1038/sdata201852,2024-08-24,10000,37,21
10.1038/sdata201848,2024-08-24,8919,69,2
10.1038/sdata201844,2024-08-24,6816,38,9
10.1038/sdata201842,2024-08-24,12000,51,7
10.1038/sdata201849,2024-08-24,8810,96,45
10.1038/sdata201853,2024-08-24,17000,128,50
10.1038/sdata201856,2024-08-24,8181,80,22
10.1038/sdata201851,2024-08-24,3882,13,3
10.1038/sdata201859,2024-08-24,4833,11,39
10.1038/sdata201855,2024-08-24,8257,38,3
10.1038/sdata201864,2024-08-24,4103,3,36
10.1038/sdata201862,2024-08-24,7052,46,10
10.1038/sdata201858,2024-08-24,4543,30,1
10.1038/sdata201857,2024-08-24,2318,5,4
10.1038/sdata201854,2024-08-24,1381,3,0
10.1038/sdata201861,2024-08-24,32000,114,9
10.1038/sdata201866,2024-08-24,3263,4,4
10.1038/sdata201860,2024-08-24,2920,9,4
10.1038/sdata201863,2024-08-24,25000,272,84
10.1038/sdata201875,2024-08-24,1975,25,2
10.1038/sdata201873,2024-08-24,5868,14,40
10.1038/sdata201867,2024-08-24,7101,44,4
10.1038/sdata201874,2024-08-24,6987,27,3
10.1038/sdata201868,2024-08-24,7659,25,10
10.1038/sdata201877,2024-08-24,4973,5,3
10.1038/sdata201871,2024-08-24,3562,34,2
10.1038/sdata201865,2024-08-24,20000,133,12
10.1038/sdata201876,2024-08-24,30000,127,17
10.1038/sdata201879,2024-08-24,4023,12,2
10.1038/sdata201885,2024-08-24,1627,5,1
10.1038/sdata201829,2024-08-24,5337,41,49
10.1038/sdata201882,2024-08-24,5877,85,1
10.1038/sdata201872,2024-08-24,4592,31,67
10.1038/sdata201889,2024-08-24,31000,61,45
10.1038/sdata201881,2024-08-24,1995,2,1
10.1038/sdata201884,2024-08-24,1001,5,0
10.1038/sdata201891,2024-08-24,13000,108,7
10.1038/sdata201883,2024-08-24,1885,20,1
10.1038/sdata201869,2024-08-24,8967,83,28
10.1038/sdata201896,2024-08-24,6078,38,23
10.1038/sdata201890,2024-08-24,4370,22,28
10.1038/sdata201886,2024-08-24,11000,117,13
10.1038/sdata201897,2024-08-24,4308,42,35
10.1038/sdata2018100,2024-08-24,1857,2,3
10.1038/sdata201899,2024-08-24,9017,16,61
10.1038/sdata2018102,2024-08-24,5449,18,1
10.1038/sdata201888,2024-08-24,5607,19,10
10.1038/sdata2018101,2024-08-24,8251,40,2
10.1038/sdata201845,2024-08-24,19000,63,13
10.1038/sdata2018103,2024-08-24,3845,30,3
10.1038/sdata2018108,2024-08-24,4613,5,2
10.1038/sdata201893,2024-08-24,4138,31,1
10.1038/sdata2018105,2024-08-24,11000,41,70
10.1038/sdata2018106,2024-08-24,4816,20,6
10.1038/sdata2018104,2024-08-24,3756,9,4
10.1038/sdata2018107,2024-08-24,2650,28,16
10.1038/sdata2018119,2024-08-24,3017,17,4
10.1038/sdata2018117,2024-08-24,3919,18,33
10.1038/sdata2018111,2024-08-24,10000,88,13
10.1038/sdata2018115,2024-08-24,4684,14,27
10.1038/sdata2018123,2024-08-24,1923,9,1
10.1038/sdata2018116,2024-08-24,2981,5,3
10.1038/sdata2018124,2024-08-24,6170,31,66
10.1038/sdata2018120,2024-08-24,22000,64,82
10.1038/sdata2018122,2024-08-24,3829,35,1
10.1038/sdata2018113,2024-08-24,1912,10,24
10.1038/sdata201887,2024-08-24,3364,12,7
10.1038/sdata2018126,2024-08-24,2860,9,1
10.1038/sdata2018112,2024-08-24,11000,58,7
10.1038/sdata2018114,2024-08-24,3258,17,20
10.1038/sdata201880,2024-08-24,10000,36,36
10.1038/sdata2018132,2024-08-24,4476,66,5
10.1038/sdata2018135,2024-08-24,11000,113,71
10.1038/sdata2018133,2024-08-24,7738,27,8
10.1038/sdata2018125,2024-08-24,40000,142,21
10.1038/sdata2018131,2024-08-24,2538,19,2
10.1038/sdata2018127,2024-08-24,16000,22,31
10.1038/sdata2018134,2024-08-24,5319,87,1
10.1038/sdata2018139,2024-08-24,2273,20,9
10.1038/sdata2018129,2024-08-24,3953,14,10
10.1038/sdata2018128,2024-08-24,20000,14,2
10.1038/sdata2018138,2024-08-24,5001,25,64
10.1038/sdata2018130,2024-08-24,5433,38,66
